V1,V2,V3,V4,V5,V6,V7,V8
2623.4758,2623.3596,2623.3596,2623.3596,2623.3596,2623.3596,2623.3596,2623.474
2623.4758,2623.359,2623.359,2623.359,2623.359,2623.359,2623.359,2623.4744
2623.4766,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.475
2623.476,2623.3594,2623.3594,2623.3594,2623.3594,2623.3594,2623.3594,2623.4744
2623.4758,2623.3591,2623.3591,2623.3591,2623.3591,2623.3591,2623.3591,2623.4744
2623.4766,2623.368,2623.368,2623.368,2623.368,2623.368,2623.368,2623.4746
2623.4763,2623.3582,2623.3582,2623.3582,2623.3582,2623.3582,2623.3582,2623.4749
2623.4766,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.4753
2623.4766,2623.3613,2623.3613,2623.3613,2623.3613,2623.3613,2623.3613,2623.475
2623.4766,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.4753
2623.4763,2623.3562,2623.3562,2623.3562,2623.3562,2623.3562,2623.3562,2623.4749
2623.4758,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.474
2623.4758,2623.3586,2623.3586,2623.3586,2623.3586,2623.3586,2623.3586,2623.4739
2623.4758,2623.362,2623.362,2623.362,2623.362,2623.362,2623.362,2623.474
2623.4758,2623.365,2623.365,2623.365,2623.365,2623.365,2623.365,2623.4739
2623.4756,2623.358,2623.358,2623.358,2623.358,2623.358,2623.358,2623.4736
2623.4758,2623.3606,2623.3606,2623.3606,2623.3606,2623.3606,2623.3606,2623.4744
2623.4763,2623.3596,2623.3596,2623.3596,2623.3596,2623.3596,2623.3596,2623.4746
2623.476,2623.3584,2623.3584,2623.3584,2623.3584,2623.3584,2623.3584,2623.4744
2623.476,2623.364,2623.364,2623.364,2623.364,2623.364,2623.364,2623.4749
2623.467,2623.3772,2623.3772,2623.3772,2623.3772,2623.3772,2623.3772,2623.474
2623.4766,2623.3647,2623.3647,2623.3647,2623.3647,2623.3647,2623.3647,2623.475
2623.4697,2623.3945,2623.3945,2623.3945,2623.3945,2623.3945,2623.3945,2623.4753
2623.4683,2623.383,2623.383,2623.383,2623.383,2623.383,2623.383,2623.4744
2623.4678,2623.3804,2623.3804,2623.3804,2623.3804,2623.3804,2623.3804,2623.4744
2623.4683,2623.3818,2623.3818,2623.3818,2623.3818,2623.3818,2623.3818,2623.4749
2623.4675,2623.3762,2623.3762,2623.3762,2623.3762,2623.3762,2623.3762,2623.475
2623.476,2623.3635,2623.3635,2623.3635,2623.3635,2623.3635,2623.3635,2623.4744
2623.4673,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.4749
2623.4763,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.475
2623.4768,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.4753
2623.4666,2623.3672,2623.3672,2623.3672,2623.3672,2623.3672,2623.3672,2623.475
2623.4663,2623.3708,2623.3708,2623.3708,2623.3708,2623.3708,2623.3708,2623.4744
2623.4666,2623.3713,2623.3713,2623.3713,2623.3713,2623.3713,2623.3713,2623.4744
2623.4758,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.4744
2623.4663,2623.3667,2623.3667,2623.3667,2623.3667,2623.3667,2623.3667,2623.4744
2623.467,2623.3713,2623.3713,2623.3713,2623.3713,2623.3713,2623.3713,2623.4746
2623.4673,2623.371,2623.371,2623.371,2623.371,2623.371,2623.371,2623.4746
2623.4663,2623.37,2623.37,2623.37,2623.37,2623.37,2623.37,2623.4739
2623.4758,2623.3574,2623.3574,2623.3574,2623.3574,2623.3574,2623.3574,2623.4749
2623.4763,2623.3586,2623.3586,2623.3586,2623.3586,2623.3586,2623.3586,2623.4749
2623.476,2623.3499,2623.3499,2623.3499,2623.3499,2623.3499,2623.3499,2623.475
2623.4758,2623.355,2623.355,2623.355,2623.355,2623.355,2623.355,2623.4744
2623.476,2623.354,2623.354,2623.354,2623.354,2623.354,2623.354,2623.4744
2623.4678,2623.3828,2623.3828,2623.3828,2623.3828,2623.3828,2623.3828,2623.4739
2623.4766,2623.355,2623.355,2623.355,2623.355,2623.355,2623.355,2623.475
2623.4766,2623.366,2623.366,2623.366,2623.366,2623.366,2623.366,2623.4749
2623.4763,2623.345,2623.345,2623.345,2623.345,2623.345,2623.345,2623.4749
2623.4749,2623.3389,2623.3389,2623.3389,2623.3389,2623.3389,2623.3389,2623.4731
2623.4746,2623.3381,2623.3381,2623.3381,2623.3381,2623.3381,2623.3381,2623.473
2623.4766,2623.3516,2623.3516,2623.3516,2623.3516,2623.3516,2623.3516,2623.475
2623.4766,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.475
2623.4663,2623.3665,2623.3665,2623.3665,2623.3665,2623.3665,2623.3665,2623.4749
2623.4768,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.4749
2623.4766,2623.363,2623.363,2623.363,2623.363,2623.363,2623.363,2623.475
2623.4763,2623.36,2623.36,2623.36,2623.36,2623.36,2623.36,2623.4749
2623.4763,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.475
2623.4768,2623.3464,2623.3464,2623.3464,2623.3464,2623.3464,2623.3464,2623.4749
2623.4736,2623.3086,2623.3086,2623.3086,2623.3086,2623.3086,2623.3086,2623.4722
2623.4763,2623.346,2623.346,2623.346,2623.346,2623.346,2623.346,2623.4744
2623.4763,2623.3533,2623.3533,2623.3533,2623.3533,2623.3533,2623.3533,2623.475
2623.477,2623.3591,2623.3591,2623.3591,2623.3591,2623.3591,2623.3591,2623.4753
2623.4758,2623.3555,2623.3555,2623.3555,2623.3555,2623.3555,2623.3555,2623.4753
2623.4758,2623.35,2623.35,2623.35,2623.35,2623.35,2623.35,2623.474
2623.4763,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.4744
2623.467,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.4744
2623.4758,2623.359,2623.359,2623.359,2623.359,2623.359,2623.359,2623.4744
2623.4758,2623.3599,2623.3599,2623.3599,2623.3599,2623.3599,2623.3599,2623.474
2623.4766,2623.3623,2623.3623,2623.3623,2623.3623,2623.3623,2623.3623,2623.475
2623.4758,2623.358,2623.358,2623.358,2623.358,2623.358,2623.358,2623.4744
2623.4763,2623.353,2623.353,2623.353,2623.353,2623.353,2623.353,2623.4744
2623.4763,2623.3618,2623.3618,2623.3618,2623.3618,2623.3618,2623.3618,2623.475
2623.4763,2623.3547,2623.3547,2623.3547,2623.3547,2623.3547,2623.3547,2623.475
2623.476,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.4744
2623.4666,2623.3706,2623.3706,2623.3706,2623.3706,2623.3706,2623.3706,2623.4746
2623.475,2623.3545,2623.3545,2623.3545,2623.3545,2623.3545,2623.3545,2623.4734
2623.4695,2623.3892,2623.3892,2623.3892,2623.3892,2623.3892,2623.3892,2623.4746
2623.4766,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.475
2623.4666,2623.3677,2623.3677,2623.3677,2623.3677,2623.3677,2623.3677,2623.4749
2623.4695,2623.3867,2623.3867,2623.3867,2623.3867,2623.3867,2623.3867,2623.4763
2623.4766,2623.3618,2623.3618,2623.3618,2623.3618,2623.3618,2623.3618,2623.475
2623.4766,2623.3591,2623.3591,2623.3591,2623.3591,2623.3591,2623.3591,2623.475
2623.467,2623.3713,2623.3713,2623.3713,2623.3713,2623.3713,2623.3713,2623.4746
2623.4766,2623.3616,2623.3616,2623.3616,2623.3616,2623.3616,2623.3616,2623.475
2623.4683,2623.3906,2623.3906,2623.3906,2623.3906,2623.3906,2623.3906,2623.4734
2623.476,2623.366,2623.366,2623.366,2623.366,2623.366,2623.366,2623.4744
2623.4763,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.4746
2623.4763,2623.363,2623.363,2623.363,2623.363,2623.363,2623.363,2623.4749
2623.4763,2623.363,2623.363,2623.363,2623.363,2623.363,2623.363,2623.4749
2623.4668,2623.371,2623.371,2623.371,2623.371,2623.371,2623.371,2623.4746
2623.4663,2623.369,2623.369,2623.369,2623.369,2623.369,2623.369,2623.4749
2623.4668,2623.3728,2623.3728,2623.3728,2623.3728,2623.3728,2623.3728,2623.4749
2623.467,2623.3691,2623.3691,2623.3691,2623.3691,2623.3691,2623.3691,2623.4746
2623.4763,2623.3625,2623.3625,2623.3625,2623.3625,2623.3625,2623.3625,2623.475
2623.4666,2623.3682,2623.3682,2623.3682,2623.3682,2623.3682,2623.3682,2623.4749
2623.4753,2623.3477,2623.3477,2623.3477,2623.3477,2623.3477,2623.3477,2623.4734
2623.467,2623.37,2623.37,2623.37,2623.37,2623.37,2623.37,2623.4749
2623.467,2623.371,2623.371,2623.371,2623.371,2623.371,2623.371,2623.4749
2623.4766,2623.364,2623.364,2623.364,2623.364,2623.364,2623.364,2623.475
2623.467,2623.37,2623.37,2623.37,2623.37,2623.37,2623.37,2623.4749
2623.4766,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.3604,2623.475
2623.467,2623.3716,2623.3716,2623.3716,2623.3716,2623.3716,2623.3716,2623.475
2623.468,2623.3774,2623.3774,2623.3774,2623.3774,2623.3774,2623.3774,2623.4749
2623.468,2623.3823,2623.3823,2623.3823,2623.3823,2623.3823,2623.3823,2623.4746
2623.467,2623.3691,2623.3691,2623.3691,2623.3691,2623.3691,2623.3691,2623.4744
2623.4763,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.4749
2623.4675,2623.3762,2623.3762,2623.3762,2623.3762,2623.3762,2623.3762,2623.4749
2623.4663,2623.3674,2623.3674,2623.3674,2623.3674,2623.3674,2623.3674,2623.474
2623.4707,2623.3977,2623.3977,2623.3977,2623.3977,2623.3977,2623.3977,2623.4756
2623.4678,2623.374,2623.374,2623.374,2623.374,2623.374,2623.374,2623.475
2623.4675,2623.3762,2623.3762,2623.3762,2623.3762,2623.3762,2623.3762,2623.474
2623.4746,2623.3455,2623.3455,2623.3455,2623.3455,2623.3455,2623.3455,2623.4731
2623.4778,2623.3564,2623.3564,2623.3564,2623.3564,2623.3564,2623.3564,2623.4768
2623.4756,2623.36,2623.36,2623.36,2623.36,2623.36,2623.36,2623.4739
2623.4763,2623.363,2623.363,2623.363,2623.363,2623.363,2623.363,2623.4746
2623.4685,2623.3916,2623.3916,2623.3916,2623.3916,2623.3916,2623.3916,2623.4724
2623.4758,2623.3442,2623.3442,2623.3442,2623.3442,2623.3442,2623.3442,2623.4746
2623.4673,2623.374,2623.374,2623.374,2623.374,2623.374,2623.374,2623.4744
2623.476,2623.3496,2623.3496,2623.3496,2623.3496,2623.3496,2623.3496,2623.4746
2623.4758,2623.3494,2623.3494,2623.3494,2623.3494,2623.3494,2623.3494,2623.474
2623.4766,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.475
2623.4766,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.475
2623.476,2623.366,2623.366,2623.366,2623.366,2623.366,2623.366,2623.4744
2623.4766,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.4749
2623.4763,2623.3647,2623.3647,2623.3647,2623.3647,2623.3647,2623.3647,2623.4749
2623.4766,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.4749
2623.4763,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.4749
2623.4666,2623.3665,2623.3665,2623.3665,2623.3665,2623.3665,2623.3665,2623.4749
2623.4763,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.4746
2623.476,2623.3652,2623.3652,2623.3652,2623.3652,2623.3652,2623.3652,2623.4744
2623.467,2623.3699,2623.3699,2623.3699,2623.3699,2623.3699,2623.3699,2623.4749
2623.4763,2623.364,2623.364,2623.364,2623.364,2623.364,2623.364,2623.4749
2623.4763,2623.363,2623.363,2623.363,2623.363,2623.363,2623.363,2623.4749
2623.4763,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.4749
2623.4763,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.3643,2623.4749
2623.4663,2623.3667,2623.3667,2623.3667,2623.3667,2623.3667,2623.3667,2623.4749
2623.4766,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.4749
2623.4763,2623.365,2623.365,2623.365,2623.365,2623.365,2623.365,2623.4749
2623.4763,2623.365,2623.365,2623.365,2623.365,2623.365,2623.365,2623.4746
2623.4666,2623.3674,2623.3674,2623.3674,2623.3674,2623.3674,2623.3674,2623.4744
2623.4766,2623.3657,2623.3657,2623.3657,2623.3657,2623.3657,2623.3657,2623.4746
2623.4763,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.4749
2623.476,2623.364,2623.364,2623.364,2623.364,2623.364,2623.364,2623.474
2623.4763,2623.363,2623.363,2623.363,2623.363,2623.363,2623.363,2623.4749
2623.4766,2623.3618,2623.3618,2623.3618,2623.3618,2623.3618,2623.3618,2623.4749
2623.4763,2623.3652,2623.3652,2623.3652,2623.3652,2623.3652,2623.3652,2623.4749
2623.4766,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.4753
2623.4763,2623.3647,2623.3647,2623.3647,2623.3647,2623.3647,2623.3647,2623.4749
2623.4766,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.3662,2623.4746
2623.4763,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.4749
2623.4763,2623.364,2623.364,2623.364,2623.364,2623.364,2623.364,2623.475
2623.4763,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.475
2623.4758,2623.363,2623.363,2623.363,2623.363,2623.363,2623.363,2623.474
2623.4763,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.475
2623.4763,2623.3623,2623.3623,2623.3623,2623.3623,2623.3623,2623.3623,2623.475
2623.4763,2623.3625,2623.3625,2623.3625,2623.3625,2623.3625,2623.3625,2623.475
2623.467,2623.368,2623.368,2623.368,2623.368,2623.368,2623.368,2623.4749
2623.4766,2623.3606,2623.3606,2623.3606,2623.3606,2623.3606,2623.3606,2623.4744
2623.4668,2623.3687,2623.3687,2623.3687,2623.3687,2623.3687,2623.3687,2623.4753
2623.4683,2623.3816,2623.3816,2623.3816,2623.3816,2623.3816,2623.3816,2623.4746
2623.476,2623.366,2623.366,2623.366,2623.366,2623.366,2623.366,2623.4744
2623.4673,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.475
2623.475,2623.437,2623.437,2623.437,2623.437,2623.437,2623.437,2623.4746
2623.4712,2623.4026,2623.4026,2623.4026,2623.4026,2623.4026,2623.4026,2623.4756
2623.4712,2623.2922,2623.2922,2623.2922,2623.2922,2623.2922,2623.2922,2623.47
2623.4678,2623.3777,2623.3777,2623.3777,2623.3777,2623.3777,2623.3777,2623.4749
2623.4697,2623.206,2623.206,2623.206,2623.206,2623.206,2623.206,2623.4697
2623.4707,2623.2578,2623.2578,2623.2578,2623.2578,2623.2578,2623.2578,2623.471
2623.4065,2623.1902,2623.1902,2623.1902,2623.1902,2623.1902,2623.1902,2623.458
2623.4707,2623.3982,2623.3982,2623.3982,2623.3982,2623.3982,2623.3982,2623.4756
2623.428,2623.3171,2623.3171,2623.3171,2623.3171,2623.3171,2623.3171,2623.4048
2623.467,2623.3792,2623.3792,2623.3792,2623.3792,2623.3792,2623.3792,2623.474
2623.469,2623.3867,2623.3867,2623.3867,2623.3867,2623.3867,2623.3867,2623.476
2623.469,2623.3848,2623.3848,2623.3848,2623.3848,2623.3848,2623.3848,2623.4768
2623.4722,2623.281,2623.281,2623.281,2623.281,2623.281,2623.281,2623.4717
2623.4768,2623.366,2623.366,2623.366,2623.366,2623.366,2623.366,2623.4749
2623.4658,2623.1973,2623.1973,2623.1973,2623.1973,2623.1973,2623.1973,2623.4668
2623.4666,2623.367,2623.367,2623.367,2623.367,2623.367,2623.367,2623.4749
2623.4714,2623.4058,2623.4058,2623.4058,2623.4058,2623.4058,2623.4058,2623.4756
2623.4712,2623.4006,2623.4006,2623.4006,2623.4006,2623.4006,2623.4006,2623.4758
2623.468,2623.3855,2623.3855,2623.3855,2623.3855,2623.3855,2623.3855,2623.4744
2623.476,2623.3616,2623.3616,2623.3616,2623.3616,2623.3616,2623.3616,2623.4744
2623.475,2623.3557,2623.3557,2623.3557,2623.3557,2623.3557,2623.3557,2623.4731
2623.469,2623.3916,2623.3916,2623.3916,2623.3916,2623.3916,2623.3916,2623.4744
2623.4695,2623.3923,2623.3923,2623.3923,2623.3923,2623.3923,2623.3923,2623.4746
2623.4705,2623.4011,2623.4011,2623.4011,2623.4011,2623.4011,2623.4011,2623.4756
2623.469,2623.3914,2623.3914,2623.3914,2623.3914,2623.3914,2623.3914,2623.4744
2623.4763,2623.3694,2623.3694,2623.3694,2623.3694,2623.3694,2623.3694,2623.475
2623.4763,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.4749
2623.4678,2623.3755,2623.3755,2623.3755,2623.3755,2623.3755,2623.3755,2623.4749
2623.4673,2623.3716,2623.3716,2623.3716,2623.3716,2623.3716,2623.3716,2623.4746
2623.4753,2623.36,2623.36,2623.36,2623.36,2623.36,2623.36,2623.4736
2623.4683,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.4763
2623.4753,2623.3147,2623.3147,2623.3147,2623.3147,2623.3147,2623.3147,2623.474
2623.4753,2623.3496,2623.3496,2623.3496,2623.3496,2623.3496,2623.3496,2623.4736
2623.4673,2623.3833,2623.3833,2623.3833,2623.3833,2623.3833,2623.3833,2623.4739
2623.4666,2623.37,2623.37,2623.37,2623.37,2623.37,2623.37,2623.4746
2623.4663,2623.3667,2623.3667,2623.3667,2623.3667,2623.3667,2623.3667,2623.4749
2623.4756,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.3628,2623.4744
2623.4753,2623.3342,2623.3342,2623.3342,2623.3342,2623.3342,2623.3342,2623.4744
2623.4736,2623.295,2623.295,2623.295,2623.295,2623.295,2623.295,2623.4722
2623.4749,2623.3276,2623.3276,2623.3276,2623.3276,2623.3276,2623.3276,2623.4736
2623.476,2623.3623,2623.3623,2623.3623,2623.3623,2623.3623,2623.3623,2623.474
2623.4697,2623.3938,2623.3938,2623.3938,2623.3938,2623.3938,2623.3938,2623.475
2623.4766,2623.3484,2623.3484,2623.3484,2623.3484,2623.3484,2623.3484,2623.475
2623.4678,2623.3833,2623.3833,2623.3833,2623.3833,2623.3833,2623.3833,2623.4744
2623.471,2623.2249,2623.2249,2623.2249,2623.2249,2623.2249,2623.2249,2623.4702
2623.4707,2623.225,2623.225,2623.225,2623.225,2623.225,2623.225,2623.4705
2623.4756,2623.3567,2623.3567,2623.3567,2623.3567,2623.3567,2623.3567,2623.4736
2623.476,2623.36,2623.36,2623.36,2623.36,2623.36,2623.36,2623.4749
2623.4688,2623.389,2623.389,2623.389,2623.389,2623.389,2623.389,2623.4753
2623.474,2623.3315,2623.3315,2623.3315,2623.3315,2623.3315,2623.3315,2623.4724
2623.4756,2623.3682,2623.3682,2623.3682,2623.3682,2623.3682,2623.3682,2623.4739
2623.4763,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.3655,2623.4746
2623.4763,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.3645,2623.4739
2623.4734,2623.3445,2623.3445,2623.3445,2623.3445,2623.3445,2623.3445,2623.4712
2623.4756,2623.3677,2623.3677,2623.3677,2623.3677,2623.3677,2623.3677,2623.4736
2623.4678,2623.378,2623.378,2623.378,2623.378,2623.378,2623.378,2623.4746
2623.468,2623.3782,2623.3782,2623.3782,2623.3782,2623.3782,2623.3782,2623.4753
2623.4668,2623.368,2623.368,2623.368,2623.368,2623.368,2623.368,2623.4749
2623.4758,2623.3591,2623.3591,2623.3591,2623.3591,2623.3591,2623.3591,2623.4744
2623.469,2623.3833,2623.3833,2623.3833,2623.3833,2623.3833,2623.3833,2623.476
2623.4683,2623.376,2623.376,2623.376,2623.376,2623.376,2623.376,2623.4753
2623.4666,2623.3704,2623.3704,2623.3704,2623.3704,2623.3704,2623.3704,2623.4739
2623.4768,2623.3608,2623.3608,2623.3608,2623.3608,2623.3608,2623.3608,2623.475
2623.47,2623.3945,2623.3945,2623.3945,2623.3945,2623.3945,2623.3945,2623.4758
2623.4753,2623.3481,2623.3481,2623.3481,2623.3481,2623.3481,2623.3481,2623.474
2623.4712,2623.4065,2623.4065,2623.4065,2623.4065,2623.4065,2623.4065,2623.4753
2623.4685,2623.3767,2623.3767,2623.3767,2623.3767,2623.3767,2623.3767,2623.476
2623.4678,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.4753
2623.4675,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.475
2623.4683,2623.3777,2623.3777,2623.3777,2623.3777,2623.3777,2623.3777,2623.4753
2623.4683,2623.3828,2623.3828,2623.3828,2623.3828,2623.3828,2623.3828,2623.4749
2623.4675,2623.3767,2623.3767,2623.3767,2623.3767,2623.3767,2623.3767,2623.4744
2623.4692,2623.3828,2623.3828,2623.3828,2623.3828,2623.3828,2623.3828,2623.4753
2623.467,2623.3667,2623.3667,2623.3667,2623.3667,2623.3667,2623.3667,2623.4758
2623.4675,2623.3772,2623.3772,2623.3772,2623.3772,2623.3772,2623.3772,2623.4744
2623.4758,2623.357,2623.357,2623.357,2623.357,2623.357,2623.357,2623.4744
2623.4666,2623.37,2623.37,2623.37,2623.37,2623.37,2623.37,2623.4746
2623.4673,2623.3733,2623.3733,2623.3733,2623.3733,2623.3733,2623.3733,2623.4749
2623.4753,2623.3257,2623.3257,2623.3257,2623.3257,2623.3257,2623.3257,2623.4734
2623.468,2623.3884,2623.3884,2623.3884,2623.3884,2623.3884,2623.3884,2623.4734
2623.469,2623.3936,2623.3936,2623.3936,2623.3936,2623.3936,2623.3936,2623.4744
2623.47,2623.3938,2623.3938,2623.3938,2623.3938,2623.3938,2623.3938,2623.4756
2623.4692,2623.4004,2623.4004,2623.4004,2623.4004,2623.4004,2623.4004,2623.4727
2623.4749,2623.328,2623.328,2623.328,2623.328,2623.328,2623.328,2623.4736
2623.4736,2623.329,2623.329,2623.329,2623.329,2623.329,2623.329,2623.4717
2623.4673,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.3743,2623.4749
2623.4695,2623.389,2623.389,2623.389,2623.389,2623.389,2623.389,2623.4763
2623.4673,2623.3767,2623.3767,2623.3767,2623.3767,2623.3767,2623.3767,2623.4749
2623.4683,2623.3853,2623.3853,2623.3853,2623.3853,2623.3853,2623.3853,2623.4744
2623.472,2623.4114,2623.4114,2623.4114,2623.4114,2623.4114,2623.4114,2623.476
2623.4656,2623.3694,2623.3694,2623.3694,2623.3694,2623.3694,2623.3694,2623.4734
2623.471,2623.4016,2623.4016,2623.4016,2623.4016,2623.4016,2623.4016,2623.4744
2623.4685,2623.3816,2623.3816,2623.3816,2623.3816,2623.3816,2623.3816,2623.475
2623.4724,2623.411,2623.411,2623.411,2623.411,2623.411,2623.411,2623.4768
2623.471,2623.3948,2623.3948,2623.3948,2623.3948,2623.3948,2623.3948,2623.4768
2623.4683,2623.3823,2623.3823,2623.3823,2623.3823,2623.3823,2623.3823,2623.4749
2623.4683,2623.3755,2623.3755,2623.3755,2623.3755,2623.3755,2623.3755,2623.4749
2623.4668,2623.3677,2623.3677,2623.3677,2623.3677,2623.3677,2623.3677,2623.4746
2623.4775,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.3638,2623.4763
2623.4688,2623.3877,2623.3877,2623.3877,2623.3877,2623.3877,2623.3877,2623.4758
